iter	Passed	Remaining
164	438	4874
165	440	4869
166	443	4862
167	445	4855
168	447	4848
169	450	4844
170	452	4845
171	455	4838
172	457	4831
173	459	4825
174	462	4818
175	464	4815
176	466	4809
177	469	4808
178	472	4805
179	474	4799
180	476	4793
181	479	4788
182	481	4782
183	484	4781
184	487	4779
185	489	4774
186	492	4772
187	494	4767
188	496	4761
189	499	4757
190	502	4761
191	505	4756
192	507	4750
193	509	4744
194	512	4741
195	515	4742
196	519	4753
197	521	4750
198	524	4746
199	526	4742
200	529	4739
201	532	4738
202	534	4734
203	537	4729
204	539	4724
205	541	4718
206	544	4715
207	547	4717
208	550	4721
209	553	4720
210	556	4718
211	559	4717
212	561	4712
213	564	4709
214	566	4704
215	569	4699
216	571	4694
217	573	4688
218	576	4686
219	578	4682
220	581	4682
221	584	4680
222	587	4678
223	589	4674
224	591	4669
225	594	4664
226	597	4665
227	599	4661
228	602	4656
229	604	4651
230	606	4645
231	609	4641
232	611	4638
233	614	4634
234	616	4629
235	618	4623
236	620	4618
237	623	4613
238	625	4608
239	628	4605
240	630	4601
241	632	4597
242	635	4591
243	637	4586
244	640	4587
245	642	4584
246	645	4583
247	648	4579
248	650	4575
249	652	4570
250	655	4566
251	657	4562
252	660	4559
253	662	4556
254	665	4553
255	667	4550
256	670	4547
257	673	4544
258	676	4547
259	679	4544
260	681	4539
261	683	4534
262	685	4529
263	688	4528
264	690	4523
265	693	4520
266	695	4516
267	699	4518
268	701	4514
269	703	4510
270	706	4505
271	709	4505
272	711	4500
273	713	4495
274	716	4491
275	718	4486
276	720	4481
277	723	4478
278	725	4477
279	728	4473
280	730	4468
281	732	4464
282	735	4459
283	737	4456
284	740	4455
285	743	4455
286	745	4451
287	748	4449
288	750	4445
289	753	4442
290	755	4439
291	758	4435
292	760	4431
293	763	4429
294	766	4427
295	768	4424
296	771	4421
297	774	4421
298	776	4417
299	778	4412
300	780	4408
301	783	4405
302	785	4402
303	788	4399
304	791	4396
305	794	4395
306	796	4392
307	798	4388
308	801	4383
309	803	4380
310	806	4378
311	808	4374
312	810	4369
313	813	4365
314	815	4361
315	817	4356
316	820	4354
317	822	4352
318	825	4349
319	828	4347
320	830	4344
321	833	4343
322	836	4340
323	838	4338
324	841	4334
325	843	4331
326	845	4327
327	848	4324
328	851	4326
329	854	4324
330	857	4323
331	860	4322
332	863	4321
333	865	4318
334	868	4318
335	871	4315
336	873	4312
337	876	4309
338	879	4308
339	882	4306
340	884	4305
341	887	4304
342	890	4303
343	893	4300
344	895	4297
345	898	4294
346	901	4293
347	903	4290
348	906	4287
349	908	4284
350	911	4280
351	913	4277
352	916	4277
353	919	4274
354	921	4270
355	924	4267
356	926	4264
357	929	4261
358	932	4260
359	934	4257
360	937	4254
361	939	4250
362	941	4247
363	944	4245
364	946	4240
365	949	4237
366	951	4234
367	954	4232
368	956	4229
369	959	4226
370	962	4224
371	964	4223
372	967	4220
373	970	4218
374	973	4216
375	975	4213
376	978	4211
377	981	4209
378	983	4206
379	986	4203
380	988	4201
381	991	4198
382	993	4195
383	996	4193
384	999	4194
385	1002	4193
386	1005	4191
387	1008	4188
388	1010	4186
389	1013	4184
390	1015	4180
391	1018	4176
392	1020	4173
393	1022	4169
394	1025	4168
395	1028	4167
396	1031	4164
397	1033	4161
398	1036	4157
399	1038	4154
400	1041	4153
401	1044	4150
402	1046	4147
403	1049	4144
404	1051	4141
405	1053	4137
406	1056	4133
407	1058	4131
408	1061	4129
409	1064	4126
410	1066	4122
411	1068	4118
412	1070	4115
413	1073	4111
414	1076	4110
415	1079	4109
416	1081	4107
417	1084	4103
418	1087	4102
419	1090	4100
420	1092	4099
421	1096	4099
422	1099	4097
423	1101	4093
424	1103	4090
425	1107	4090
426	1109	4087
427	1112	4084
428	1114	4081
429	1116	4078
430	1119	4074
431	1122	4073
432	1125	4071
433	1127	4067
434	1129	4063
435	1131	4059
436	1133	4055
437	1137	4055
438	1139	4052
439	1142	4051
440	1145	4049
441	1148	4046
442	1150	4043
443	1153	4041
444	1156	4039
445	1158	4036
446	1161	4033
447	1163	4030
448	1165	4027
449	1167	4019
450	1169	4018
451	1172	4016
452	1175	4013
453	1178	4011
454	1180	4009
455	1183	4006
456	1186	4005
457	1188	4002
458	1191	4000
459	1195	4001
460	1197	3998
461	1200	3996
462	1203	3996
463	1206	3992
464	1208	3989
465	1210	3985
466	1212	3981
467	1215	3978
468	1218	3977
469	1220	3974
470	1223	3971
471	1225	3967
472	1228	3964
473	1230	3961
474	1233	3959
475	1235	3955
476	1237	3952
477	1240	3949
478	1242	3946
479	1245	3942
480	1247	3939
481	1250	3938
482	1252	3935
483	1255	3931
484	1257	3928
485	1259	3925
486	1262	3922
487	1265	3920
488	1268	3918
489	1270	3914
490	1272	3911
491	1275	3908
492	1277	3905
493	1280	3902
494	1283	3901
495	1285	3898
496	1288	3895
497	1290	3892
498	1293	3891
499	1296	3888
500	1299	3886
501	1301	3884
502	1304	3883
503	1307	3880
504	1309	3877
505	1313	3878
506	1330	3919
507	1333	3916
508	1335	3912
509	1338	3909
510	1340	3906
511	1342	3902
512	1345	3900
513	1347	3895
514	1349	3891
515	1352	3888
516	1354	3884
517	1356	3881
518	1359	3878
519	1361	3876
520	1364	3872
521	1366	3869
522	1369	3866
523	1371	3864
524	1374	3860
525	1376	3857
526	1378	3853
527	1381	3850
528	1384	3848
529	1386	3846
530	1389	3843
531	1392	3842
532	1394	3839
533	1397	3835
534	1399	3832
535	1402	3830
536	1405	3829
537	1408	3826
538	1410	3823
539	1412	3819
540	1415	3816
541	1417	3814
542	1420	3812
543	1424	3811
544	1426	3809
545	1429	3806
546	1431	3802
547	1434	3800
548	1437	3798
549	1439	3795
550	1442	3792
551	1444	3789
552	1446	3786
553	1449	3783
554	1452	3780
555	1454	3777
556	1456	3773
557	1459	3770
558	1461	3767
559	1464	3764
560	1467	3763
561	1469	3760
562	1471	3756
563	1474	3753
564	1476	3750
565	1479	3748
566	1482	3747
567	1485	3745
568	1488	3742
569	1490	3739
570	1501	3758
571	1505	3757
572	1508	3756
573	1510	3753
574	1513	3751
575	1516	3748
576	1518	3745
577	1521	3742
578	1524	3740
579	1526	3737
580	1529	3735
581	1533	3737
582	1537	3736
583	1540	3734
584	1542	3731
585	1545	3728
586	1547	3726
587	1550	3723
588	1552	3719
589	1555	3716
590	1557	3712
591	1559	3710
592	1562	3708
593	1565	3704
594	1567	3701
595	1569	3697
596	1572	3694
597	1574	3691
598	1577	3688
599	1579	3685
600	1581	3682
601	1584	3678
602	1586	3675
603	1588	3671
604	1591	3669
605	1593	3666
606	1596	3663
607	1598	3660
608	1601	3657
609	1603	3654
610	1606	3651
611	1608	3648
612	1611	3645
613	1613	3641
614	1615	3638
615	1617	3634
616	1620	3632
617	1622	3629
618	1625	3626
619	1628	3624
620	1630	3621
621	1633	3618
622	1635	3615
623	1639	3614
624	1641	3611
625	1644	3609
626	1646	3605
627	1648	3602
628	1651	3600
629	1654	3597
630	1656	3594
631	1659	3592
632	1661	3588
633	1664	3585
634	1666	3581
635	1668	3579
636	1671	3576
637	1674	3573
638	1676	3571
639	1679	3568
640	1681	3564
641	1683	3561
642	1686	3559
643	1688	3555
644	1691	3552
645	1694	3551
646	1696	3548
647	1699	3544
648	1701	3541
649	1703	3538
650	1706	3535
651	1708	3533
652	1711	3531
653	1714	3527
654	1716	3524
655	1718	3521
656	1721	3519
657	1724	3517
658	1726	3514
659	1729	3510
660	1731	3507
661	1733	3503
662	1736	3500
663	1739	3498
664	1741	3495
665	1743	3492
666	1745	3489
667	1748	3486
668	1751	3483
669	1754	3482
670	1757	3480
671	1759	3476
672	1761	3473
673	1764	3470
674	1766	3467
675	1769	3464
676	1771	3462
677	1774	3459
678	1776	3455
679	1778	3452
680	1781	3450
681	1783	3447
682	1786	3444
683	1789	3442
684	1791	3438
685	1793	3435
686	1796	3432
687	1798	3429
688	1800	3426
689	1803	3423
690	1805	3420
691	1808	3418
692	1810	3415
693	1813	3412
694	1815	3408
695	1818	3406
696	1820	3403
697	1822	3400
698	1825	3397
699	1827	3393
700	1829	3390
701	1832	3388
702	1834	3385
703	1837	3382
704	1839	3379
705	1842	3376
706	1844	3373
707	1846	3370
708	1849	3368
709	1852	3365
710	1854	3362
711	1857	3359
712	1859	3356
713	1862	3354
714	1865	3352
715	1867	3349
716	1870	3346
717	1872	3343
718	1874	3340
719	1877	3337
720	1879	3334
721	1882	3331
722	1884	3328
723	1886	3325
724	1889	3322
725	1891	3319
726	1893	3316
727	1896	3313
728	1898	3310
729	1901	3307
730	1904	3305
731	1906	3302
732	1908	3299
733	1911	3296
734	1914	3294
735	1916	3291
736	1919	3288
737	1921	3285
738	1923	3282
739	1925	3279
740	1928	3276
741	1931	3274
742	1933	3271
743	1936	3268
744	1938	3265
745	1941	3262
746	1943	3260
747	1946	3257
748	1948	3254
749	1950	3251
750	1953	3248
751	1955	3245
752	1958	3242
753	1960	3240
754	1963	3237
755	1965	3234
756	1967	3231
757	1970	3228
758	1972	3225
759	1974	3222
760	1977	3220
761	1980	3217
762	1982	3214
763	1985	3211
764	1987	3209
765	1990	3206
766	1992	3203
767	1995	3200
768	1997	3198
769	1999	3194
770	2002	3191
771	2004	3188
772	2006	3185
773	2009	3182
774	2012	3180
775	2015	3178
776	2017	3175
777	2019	3172
778	2022	3169
779	2024	3167
780	2027	3164
781	2029	3161
782	2032	3159
783	2035	3156
784	2037	3153
785	2040	3151
786	2043	3149
787	2045	3146
788	2047	3143
789	2050	3140
790	2052	3137
791	2055	3135
792	2058	3133
793	2060	3130
794	2062	3126
795	2065	3123
796	2067	3120
797	2070	3118
798	2072	3115
799	2075	3112
800	2077	3109
801	2079	3106
802	2082	3103
803	2084	3100
804	2086	3097
805	2089	3095
806	2092	3092
807	2094	3089
808	2096	3087
809	2099	3083
810	2101	3081
811	2104	3078
812	2106	3076
813	2109	3073
814	2112	3070
815	2114	3067
816	2116	3064
817	2118	3061
818	2121	3059
819	2123	3056
820	2126	3053
821	2128	3050
822	2130	3047
823	2132	3043
824	2135	3041
825	2138	3038
826	2140	3035
827	2142	3032
828	2144	3029
829	2147	3026
830	2149	3023
831	2152	3021
832	2154	3018
833	2157	3015
834	2159	3013
835	2161	3010
836	2164	3007
837	2166	3004
838	2169	3002
839	2172	2999
840	2174	2996
841	2176	2993
842	2179	2991
843	2182	2988
844	2184	2985
845	2187	2983
846	2189	2980
847	2191	2977
848	2194	2974
849	2196	2972
850	2199	2969
851	2202	2968
852	2206	2966
853	2209	2965
854	2212	2962
855	2215	2960
856	2218	2958
857	2220	2955
858	2222	2952
859	2225	2949
860	2227	2946
861	2230	2944
862	2233	2942
863	2235	2939
864	2238	2936
865	2240	2934
866	2243	2931
867	2245	2928
868	2249	2927
869	2251	2924
870	2254	2922
871	2257	2920
872	2260	2917
873	2263	2915
874	2266	2913
875	2268	2911
876	2271	2908
877	2273	2905
878	2276	2903
879	2278	2900
880	2281	2897
881	2284	2895
882	2286	2892
883	2289	2889
884	2291	2886
885	2293	2883
886	2296	2881
887	2299	2879
888	2301	2876
889	2304	2874
890	2307	2871
891	2309	2868
892	2312	2867
893	2315	2864
894	2318	2862
895	2321	2860
896	2323	2857
897	2326	2854
898	2329	2852
899	2331	2849
900	2333	2846
901	2336	2843
902	2338	2840
903	2341	2838
904	2343	2835
905	2346	2833
906	2348	2830
907	2351	2827
908	2353	2824
909	2356	2822
910	2358	2819
911	2361	2817
912	2363	2814
913	2366	2811
914	2368	2808
915	2371	2806
916	2374	2804
917	2377	2802
918	2380	2800
919	2383	2797
920	2385	2795
921	2388	2792
922	2391	2790
923	2393	2787
924	2396	2784
925	2398	2781
926	2400	2779
927	2403	2776
928	2405	2773
929	2408	2770
930	2411	2768
931	2414	2767
932	2417	2764
933	2419	2761
934	2422	2759
935	2424	2756
936	2427	2753
937	2429	2751
938	2433	2749
939	2436	2747
940	2439	2745
941	2441	2742
942	2444	2739
943	2446	2737
944	2449	2734
945	2451	2731
946	2454	2728
947	2456	2726
948	2459	2723
949	2462	2721
950	2464	2718
951	2467	2716
952	2469	2713
953	2472	2710
954	2474	2707
955	2477	2705
956	2479	2702
957	2482	2699
958	2484	2696
959	2487	2694
960	2489	2691
961	2491	2688
962	2494	2685
963	2496	2683
964	2499	2680
965	2501	2677
966	2504	2675
967	2506	2672
968	2509	2669
969	2511	2667
970	2514	2664
971	2516	2661
972	2519	2659
973	2522	2656
974	2524	2653
975	2526	2650
976	2528	2647
977	2531	2645
978	2533	2642
979	2536	2639
980	2538	2636
981	2540	2633
982	2543	2631
983	2545	2628
984	2547	2625
985	2550	2622
986	2552	2620
987	2555	2617
988	2557	2614
989	2559	2611
990	2562	2608
991	2564	2605
992	2566	2602
993	2568	2599
994	2571	2597
995	2573	2594
996	2576	2591
997	2578	2588
998	2580	2585
999	2583	2583
1000	2585	2580
1001	2587	2577
1002	2590	2574
1003	2592	2571
1004	2594	2569
1005	2597	2566
1006	2600	2563
1007	2602	2561
1008	2604	2558
1009	2606	2555
1010	2609	2552
1011	2611	2549
1012	2614	2547
1013	2616	2544
1014	2619	2541
1015	2621	2539
1016	2624	2536
1017	2626	2533
1018	2628	2530
1019	2631	2528
1020	2633	2525
1021	2636	2522
1022	2638	2520
1023	2641	2517
1024	2643	2514
1025	2646	2512
1026	2648	2509
1027	2651	2506
1028	2653	2503
1029	2655	2500
1030	2658	2498
1031	2661	2496
1032	2664	2494
1033	2666	2491
1034	2669	2488
1035	2671	2485
1036	2674	2483
1037	2676	2480
1038	2678	2477
1039	2681	2474
1040	2683	2472
1041	2686	2469
1042	2688	2467
1043	2691	2464
1044	2693	2461
1045	2696	2459
1046	2698	2456
1047	2701	2453
1048	2703	2450
1049	2705	2448
1050	2708	2445
1051	2721	2452
1052	2723	2449
1053	2726	2446
1054	2728	2443
1055	2730	2441
1056	2732	2438
1057	2735	2435
1058	2738	2433
1059	2740	2430
1060	2743	2427
1061	2745	2424
1062	2747	2421
1063	2750	2419
1064	2753	2417
1065	2755	2414
1066	2758	2411
1067	2761	2409
1068	2763	2407
1069	2766	2404
1070	2769	2402
1071	2772	2399
1072	2775	2397
1073	2777	2395
1074	2780	2392
1075	2783	2390
1076	2786	2388
1077	2788	2385
1078	2791	2382
1079	2794	2380
1080	2796	2377
1081	2799	2375
1082	2802	2373
1083	2805	2370
1084	2808	2368
1085	2810	2365
1086	2813	2362
1087	2815	2360
1088	2818	2357
1089	2820	2354
1090	2822	2352
1091	2825	2349
1092	2827	2346
1093	2829	2343
1094	2832	2341
1095	2835	2338
1096	2837	2335
1097	2839	2332
1098	2841	2329
1099	2844	2327
1100	2847	2324
1101	2849	2321
1102	2851	2319
1103	2854	2316
1104	2856	2313
1105	2858	2310
1106	2861	2308
1107	2864	2305
1108	2866	2303
1109	2868	2300
1110	2871	2297
1111	2873	2294
1112	2875	2291
1113	2878	2289
1114	2881	2287
1115	2884	2284
1116	2886	2281
1117	2888	2278
1118	2891	2276
1119	2893	2273
1120	2896	2270
1121	2898	2268
1122	2900	2265
1123	2902	2262
1124	2905	2259
1125	2907	2256
1126	2910	2254
1127	2912	2251
1128	2915	2249
1129	2918	2246
1130	2920	2243
1131	2922	2241
1132	2925	2238
1133	2927	2235
1134	2930	2233
1135	2932	2230
1136	2934	2227
1137	2937	2224
1138	2939	2222
1139	2942	2219
1140	2944	2216
1141	2946	2214
1142	2949	2211
1143	2951	2208
1144	2954	2205
1145	2956	2203
1146	2959	2200
1147	2961	2198
1148	2964	2195
1149	2966	2192
1150	2968	2189
1151	2971	2187
1152	2973	2184
1153	2976	2182
1154	2978	2179
1155	2981	2176
1156	2983	2173
1157	2985	2170
1158	2988	2168
1159	2991	2165
1160	2993	2163
1161	2996	2160
1162	2999	2158
1163	3001	2155
1164	3004	2153
1165	3007	2151
1166	3010	2148
1167	3014	2147
1168	3016	2144
1169	3019	2142
1170	3022	2139
1171	3025	2137
1172	3027	2134
1173	3029	2131
1174	3032	2129
1175	3034	2126
1176	3037	2123
1177	3039	2121
1178	3042	2118
1179	3044	2116
1180	3047	2113
1181	3049	2110
1182	3052	2107
1183	3055	2105
1184	3058	2103
1185	3060	2100
1186	3063	2098
1187	3065	2095
1188	3068	2093
1189	3071	2090
1190	3074	2088
1191	3076	2085
1192	3079	2083
1193	3081	2080
1194	3084	2077
1195	3087	2075
1196	3089	2072
1197	3092	2070
1198	3094	2067
1199	3097	2064
1200	3100	2062
1201	3102	2059
1202	3105	2057
1203	3108	2055
1204	3110	2052
1205	3113	2049
1206	3116	2047
1207	3118	2044
1208	3121	2042
1209	3124	2040
1210	3127	2037
1211	3129	2034
1212	3132	2032
1213	3135	2029
1214	3137	2027
1215	3140	2024
1216	3142	2022
1217	3145	2019
1218	3147	2016
1219	3151	2014
1220	3154	2012
1221	3156	2009
1222	3159	2007
1223	3161	2004
1224	3164	2001
1225	3167	1999
1226	3169	1996
1227	3172	1994
1228	3174	1991
1229	3177	1988
1230	3179	1986
1231	3182	1984
1232	3185	1981
1233	3187	1978
1234	3190	1976
1235	3192	1973
1236	3195	1970
1237	3198	1968
1238	3200	1965
1239	3202	1963
1240	3205	1960
1241	3207	1957
1242	3210	1954
1243	3212	1952
1244	3215	1950
1245	3218	1947
1246	3221	1945
1247	3224	1943
1248	3227	1940
1249	3230	1938
1250	3232	1935
1251	3234	1932
1252	3237	1929
1253	3239	1927
1254	3241	1924
1255	3243	1921
1256	3246	1919
1257	3248	1916
1258	3251	1913
1259	3253	1910
1260	3255	1908
1261	3258	1905
1262	3260	1902
1263	3263	1900
1264	3265	1897
1265	3268	1894
1266	3270	1892
1267	3272	1889
1268	3275	1886
1269	3278	1884
1270	3281	1882
1271	3283	1879
1272	3285	1876
1273	3288	1873
1274	3290	1871
1275	3293	1868
1276	3296	1866
1277	3298	1863
1278	3300	1860
1279	3303	1858
1280	3305	1855
1281	3308	1853
1282	3311	1850
1283	3313	1847
1284	3317	1845
1285	3319	1843
1286	3322	1840
1287	3325	1838
1288	3328	1835
1289	3330	1833
1290	3332	1830
1291	3335	1827
1292	3337	1824
1293	3339	1822
1294	3342	1819
1295	3345	1817
1296	3347	1814
1297	3349	1811
1298	3351	1808
1299	3354	1806
1300	3357	1803
1301	3359	1801
1302	3362	1798
1303	3364	1795
1304	3366	1792
1305	3368	1790
1306	3371	1787
1307	3374	1785
1308	3376	1782
1309	3379	1779
1310	3381	1777
1311	3383	1774
1312	3386	1771
1313	3388	1769
1314	3391	1766
1315	3393	1763
1316	3395	1761
1317	3398	1758
1318	3400	1755
1319	3403	1753
1320	3406	1751
1321	3409	1748
1322	3412	1745
1323	3414	1743
1324	3417	1740
1325	3419	1738
1326	3422	1735
1327	3425	1733
1328	3428	1730
1329	3430	1728
1330	3432	1725
1331	3434	1722
1332	3437	1720
1333	3440	1717
1334	3442	1714
1335	3445	1712
1336	3447	1709
1337	3450	1707
1338	3453	1704
1339	3456	1702
1340	3458	1699
1341	3461	1697
1342	3463	1694
1343	3466	1691
1344	3469	1689
1345	3472	1687
1346	3474	1684
1347	3477	1681
1348	3479	1679
1349	3482	1676
1350	3485	1674
1351	3489	1672
1352	3491	1669
1353	3493	1666
1354	3496	1664
1355	3498	1661
1356	3501	1659
1357	3504	1656
1358	3506	1653
1359	3508	1651
1360	3511	1648
1361	3514	1646
1362	3516	1643
1363	3519	1640
1364	3522	1638
1365	3525	1636
1366	3527	1633
1367	3529	1630
1368	3532	1628
1369	3535	1625
1370	3538	1623
1371	3540	1620
1372	3542	1617
1373	3545	1615
1374	3549	1613
1375	3552	1610
1376	3555	1608
1377	3558	1606
1378	3561	1604
1379	3564	1601
1380	3567	1599
1381	3570	1596
1382	3574	1594
1383	3576	1591
1384	3580	1589
1385	3582	1587
1386	3585	1584
1387	3588	1582
1388	3591	1579
1389	3593	1577
1390	3597	1574
1391	3599	1572
1392	3602	1569
1393	3604	1567
1394	3607	1564
1395	3610	1561
1396	3612	1559
1397	3615	1556
1398	3618	1554
1399	3621	1551
1400	3624	1549
1401	3626	1546
1402	3629	1544
1403	3631	1541
1404	3634	1539
1405	3637	1536
1406	3639	1534
1407	3642	1531
1408	3645	1529
1409	3648	1526
1410	3651	1524
1411	3654	1521
1412	3656	1519
1413	3659	1516
1414	3661	1513
1415	3665	1511
1416	3668	1509
1417	3672	1507
1418	3675	1504
1419	3678	1502
1420	3681	1500
1421	3684	1497
1422	3686	1494
1423	3689	1492
1424	3691	1489
1425	3694	1487
1426	3696	1484
1427	3699	1481
1428	3702	1479
1429	3704	1476
1430	3707	1474
1431	3709	1471
1432	3712	1468
1433	3715	1466
1434	3717	1463
1435	3720	1461
1436	3722	1458
1437	3726	1456
1438	3729	1453
1439	3732	1451
1440	3735	1448
1441	3737	1446
1442	3740	1443
1443	3743	1441
1444	3746	1438
1445	3749	1436
1446	3752	1434
1447	3755	1431
1448	3758	1429
1449	3762	1427
1450	3766	1425
1451	3769	1422
1452	3772	1420
1453	3775	1417
1454	3778	1415
1455	3781	1412
1456	3784	1410
1457	3787	1408
1458	3790	1405
1459	3793	1403
1460	3796	1400
1461	3798	1397
1462	3801	1395
1463	3813	1396
1464	3816	1393
1465	3819	1391
1466	3822	1388
1467	3825	1386
1468	3827	1383
1469	3830	1380
1470	3833	1378
1471	3835	1375
1472	3838	1373
1473	3841	1370
1474	3843	1368
1475	3846	1365
1476	3848	1362
1477	3851	1360
1478	3854	1357
1479	3857	1355
1480	3859	1352
1481	3862	1349
1482	3865	1347
1483	3868	1345
1484	3871	1342
1485	3873	1339
1486	3876	1337
1487	3880	1335
1488	3882	1332
1489	3886	1330
1490	3889	1327
1491	3891	1325
1492	3894	1322
1493	3897	1319
1494	3901	1317
1495	3903	1315
1496	3906	1312
1497	3909	1309
1498	3911	1307
1499	3914	1304
1500	3917	1302
1501	3919	1299
1502	3922	1296
1503	3925	1294
1504	3927	1291
1505	3930	1289
1506	3933	1286
1507	3936	1284
1508	3939	1281
1509	3942	1279
1510	3945	1276
1511	3948	1274
1512	3951	1272
1513	3955	1269
1514	3958	1267
1515	3961	1264
1516	3963	1261
1517	3966	1259
1518	3968	1256
1519	3971	1254
1520	3975	1251
1521	3977	1249
1522	3980	1246
1523	3983	1244
1524	3985	1241
1525	3988	1238
1526	3991	1236
1527	3994	1233
1528	3996	1231
1529	3999	1228
1530	4001	1225
1531	4005	1223
1532	4009	1221
1533	4012	1218
1534	4014	1216
1535	4017	1213
1536	4020	1211
1537	4023	1208
1538	4025	1205
1539	4028	1203
1540	4031	1200
1541	4034	1198
1542	4037	1195
1543	4040	1193
1544	4042	1190
1545	4045	1187
1546	4048	1185
1547	4050	1182
1548	4053	1180
1549	4056	1177
1550	4058	1175
1551	4061	1172
1552	4064	1169
1553	4067	1167
1554	4070	1164
1555	4073	1162
1556	4075	1159
1557	4078	1157
1558	4081	1154
1559	4083	1151
1560	4086	1149
1561	4089	1146
1562	4091	1143
1563	4094	1141
1564	4096	1138
1565	4099	1136
1566	4102	1133
1567	4104	1130
1568	4107	1128
1569	4110	1125
1570	4113	1123
1571	4116	1120
1572	4120	1118
1573	4123	1116
1574	4126	1113
1575	4129	1110
1576	4132	1108
1577	4134	1105
1578	4137	1103
1579	4140	1100
1580	4142	1097
1581	4145	1095
1582	4148	1092
1583	4151	1090
1584	4153	1087
1585	4156	1084
1586	4158	1082
1587	4161	1079
1588	4164	1077
1589	4167	1074
1590	4169	1071
1591	4172	1069
1592	4174	1066
1593	4177	1064
1594	4181	1061
1595	4183	1059
1596	4186	1056
1597	4188	1053
1598	4191	1051
1599	4194	1048
1600	4197	1046
1601	4200	1043
1602	4202	1040
1603	4204	1038
1604	4207	1035
1605	4210	1032
1606	4212	1030
1607	4215	1027
1608	4217	1024
1609	4219	1022
1610	4222	1019
1611	4225	1016
1612	4227	1014
1613	4230	1011
1614	4232	1008
1615	4234	1006
1616	4237	1003
1617	4239	1000
1618	4242	998
1619	4245	995
1620	4247	993
1621	4250	990
1622	4253	987
1623	4255	985
1624	4258	982
1625	4262	980
1626	4264	977
1627	4267	975
1628	4270	972
1629	4273	969
1630	4275	967
1631	4278	964
1632	4280	962
1633	4283	959
1634	4285	956
1635	4287	953
1636	4290	951
1637	4293	948
1638	4295	946
1639	4297	943
1640	4300	940
1641	4302	938
1642	4304	935
1643	4307	932
1644	4309	930
1645	4312	927
1646	4314	924
1647	4316	922
1648	4319	919
1649	4321	916
1650	4324	914
1651	4326	911
1652	4329	908
1653	4331	906
1654	4333	903
1655	4336	900
1656	4339	898
1657	4341	895
1658	4344	892
1659	4346	890
1660	4349	887
1661	4351	885
1662	4354	882
1663	4357	879
1664	4359	877
1665	4362	874
1666	4364	871
1667	4367	869
1668	4370	866
1669	4373	864
1670	4375	861
1671	4378	858
1672	4380	856
1673	4382	853
1674	4385	850
1675	4388	848
1676	4390	845
1677	4393	843
1678	4396	840
1679	4398	837
1680	4402	835
1681	4405	832
1682	4407	830
1683	4410	827
1684	4412	824
1685	4415	822
1686	4418	819
1687	4421	817
1688	4424	814
1689	4426	811
1690	4428	809
1691	4432	806
1692	4434	804
1693	4437	801
1694	4439	798
1695	4442	796
1696	4445	793
1697	4449	791
1698	4452	788
1699	4455	786
1700	4458	783
1701	4461	781
1702	4464	778
1703	4467	776
1704	4470	773
1705	4473	770
1706	4475	768
1707	4477	765
1708	4480	762
1709	4483	760
1710	4486	757
1711	4488	755
1712	4491	752
1713	4493	749
1714	4496	747
1715	4499	744
1716	4501	742
